query	qlen	hits	sgenome	sseqid	qcovGnm	hsp	qcovHSP	alenHSP	pident	qstart	qend	sstart	send	sstr	slen	seeds
NC_000913.3:4166659-4168200	1542	15	GCF_900638025.1	NZ_LR134481.1	75.746	6	75.746	1168	84.247	2	1542	2003395	2004933	-	2062405	30
NC_000913.3:4166659-4168200	1542	15	GCF_000017205.1	NC_009656.1	63.100	1	63.100	973	83.145	5	1526	807090	808605	+	6588339	10
NC_000913.3:4166659-4168200	1542	15	GCF_000017205.1	NC_009656.1	63.100	2	63.100	973	83.145	5	1526	4986560	4988075	-	6588339	10
NC_000913.3:4166659-4168200	1542	15	GCF_000017205.1	NC_009656.1	63.100	3	63.100	973	83.145	5	1526	5569876	5571391	-	6588339	10
NC_000913.3:4166659-4168200	1542	15	GCF_000017205.1	NC_009656.1	63.100	4	63.100	973	83.042	5	1526	6357112	6358627	-	6588339	9
NC_000913.3:4166659-4168200	1542	15	GCF_009759685.1	NZ_CP046654.1	54.864	1	54.864	846	84.397	5	1420	1353824	1355234	+	3980848	12
NC_000913.3:4166659-4168200	1542	15	GCF_009759685.1	NZ_CP046654.1	54.864	2	54.864	846	84.397	5	1420	1564206	1565616	+	3980848	12
NC_000913.3:4166659-4168200	1542	15	GCF_009759685.1	NZ_CP046654.1	54.864	3	54.864	846	84.397	5	1420	2013940	2015350	+	3980848	12
NC_000913.3:4166659-4168200	1542	15	GCF_009759685.1	NZ_CP046654.1	54.864	4	54.864	846	84.397	5	1420	796032	797442	-	3980848	12
NC_000913.3:4166659-4168200	1542	15	GCF_009759685.1	NZ_CP046654.1	54.864	5	54.864	846	84.397	5	1420	828251	829661	-	3980848	12
NC_000913.3:4166659-4168200	1542	15	GCF_009759685.1	NZ_CP046654.1	54.864	6	54.864	846	84.397	5	1420	1301358	1302768	-	3980848	12
NC_000913.3:4166659-4168200	1542	15	GCF_001027105.1	NZ_CP011526.1	34.630	1	34.630	534	71.910	8	1413	458487	459901	+	2755072	13
NC_000913.3:4166659-4168200	1542	15	GCF_001027105.1	NZ_CP011526.1	34.630	2	34.630	534	71.910	8	1413	503046	504460	+	2755072	13
NC_000913.3:4166659-4168200	1542	15	GCF_001027105.1	NZ_CP011526.1	34.630	3	34.630	534	71.910	8	1413	508381	509795	+	2755072	13
NC_000913.3:4166659-4168200	1542	15	GCF_001027105.1	NZ_CP011526.1	34.630	4	34.630	534	71.910	8	1413	1923852	1925266	-	2755072	13
NC_000913.3:4166659-4168200	1542	15	GCF_001027105.1	NZ_CP011526.1	34.630	5	34.630	534	71.910	8	1413	2059043	2060457	-	2755072	13
NC_000913.3:4166659-4168200	1542	15	GCF_001027105.1	NZ_CP011526.1	34.630	6	34.630	534	71.910	8	1413	2177574	2178988	-	2755072	13
NC_000913.3:4166659-4168200	1542	15	GCF_000392875.1	NZ_KB944588.1	31.193	1	31.193	481	74.012	100	1413	269346	270669	+	274762	4
NC_000913.3:4166659-4168200	1542	15	GCF_000392875.1	NZ_KB944589.1	31.193	2	31.193	481	74.012	100	1413	38	1361	+	682426	4
NC_000913.3:4166659-4168200	1542	15	GCF_000392875.1	NZ_KB944589.1	31.193	3	31.193	481	74.012	100	1413	677564	678887	+	682426	4
NC_000913.3:4166659-4168200	1542	15	GCF_000392875.1	NZ_KB944588.1	31.193	4	31.193	481	74.012	100	1413	3438	4761	-	274762	4
NC_000913.3:4166659-4168200	1542	15	GCF_000392875.1	NZ_KB944590.1	31.193	5	31.193	481	74.012	100	1413	1514896	1516219	-	1924212	4
NC_000913.3:4166659-4168200	1542	15	GCF_000392875.1	NZ_KB944590.1	31.193	6	31.193	481	74.012	100	1413	1922852	1924175	-	1924212	4
NC_000913.3:4166659-4168200	1542	15	GCF_006742205.1	NZ_AP019721.1	27.302	1	27.302	421	74.822	683	1413	763820	764552	+	2422602	9
NC_000913.3:4166659-4168200	1542	15	GCF_006742205.1	NZ_AP019721.1	27.302	2	27.302	421	74.822	683	1413	851581	852313	+	2422602	9
NC_000913.3:4166659-4168200	1542	15	GCF_006742205.1	NZ_AP019721.1	27.302	3	27.302	421	74.822	683	1413	975698	976430	+	2422602	9
NC_000913.3:4166659-4168200	1542	15	GCF_006742205.1	NZ_AP019721.1	27.302	4	27.302	421	74.822	683	1413	2253297	2254029	-	2422602	9
NC_000913.3:4166659-4168200	1542	15	GCF_006742205.1	NZ_AP019721.1	27.302	5	27.302	421	74.822	683	1413	2258449	2259181	-	2422602	9
NC_000913.3:4166659-4168200	1542	15	GCF_006742205.1	NZ_AP019721.1	27.302	6	27.302	421	74.822	683	1413	2303088	2303820	-	2422602	9
NC_000913.3:4166659-4168200	1542	15	GCF_001096185.1	NZ_CRPU01000001.1	26.005	1	26.005	401	77.057	683	1413	528976	529706	+	543880	14
NC_000913.3:4166659-4168200	1542	15	GCF_000148585.2	NZ_CP028414.1	26.005	1	26.005	401	77.057	683	1413	15941	16671	+	1868883	16
NC_000913.3:4166659-4168200	1542	15	GCF_000148585.2	NZ_CP028414.1	26.005	2	26.005	401	77.057	683	1413	171189	171919	+	1868883	16
NC_000913.3:4166659-4168200	1542	15	GCF_000148585.2	NZ_CP028414.1	26.005	3	26.005	401	77.057	683	1413	214743	215473	+	1868883	16
NC_000913.3:4166659-4168200	1542	15	GCF_000148585.2	NZ_CP028414.1	26.005	4	26.005	401	77.057	683	1413	374998	375727	+	1868883	15
NC_000913.3:4166659-4168200	1542	15	GCF_001544255.1	NZ_BCQD01000038.1	20.687	1	20.687	319	76.489	683	1118	41	477	+	563	6
